DIA,NOCHE
Soleado,Despejado
Parcialmente nublado,Parcialmente nublado
Nublado,Nublado
Cielo cubierto,Cielo cubierto
Neblina,Neblina
Lluvia  moderada a intervalos,Lluvia  moderada a intervalos
Nieve moderada a intervalos en las aproximaciones,Nieve moderada a intervalos en las aproximaciones
Aguanieve moderada a intervalos en las aproximaciones,Aguanieve moderada a intervalos en las aproximaciones
Llovizna helada a intervalos en las aproximaciones,Llovizna helada a intervalos en las aproximaciones
Cielos tormentosos en las aproximaciones,Cielos tormentosos en las aproximaciones
Chubascos de nieve,Chubascos de nieve
Ventisca,Ventisca
Niebla moderada,Niebla moderada
Niebla helada,Niebla helada
Llovizna a intervalos,Llovizna a intervalos
Llovizna,Llovizna
Llovizna helada,Llovizna helada
Fuerte llovizna helada,Fuerte llovizna helada
Lluvias ligeras a intervalos,Lluvias ligeras a intervalos
Ligeras lluvias,Ligeras lluvias
Periodos de lluvia moderada,Periodos de lluvia moderada
Lluvia moderada,Lluvia moderada
Periodos de fuertes lluvias,Periodos de fuertes lluvias
Fuertes lluvias,Fuertes lluvias
Ligeras lluvias heladas,Ligeras lluvias heladas
Lluvias heladas fuertes o moderadas,Lluvias heladas fuertes o moderadas
Ligeras precipitaciones de aguanieve,Ligeras precipitaciones de aguanieve
Aguanieve fuerte o moderada,Aguanieve fuerte o moderada
Nevadas ligeras a intervalos,Nevadas ligeras a intervalos
Nevadas ligeras,Nevadas ligeras
Nieve moderada a intervalos,Nieve moderada a intervalos
Nieve moderada,Nieve moderada
Nevadas intensas,Nevadas intensas
Fuertes nevadas,Fuertes nevadas
Granizo,Granizo
Ligeras precipitaciones,Ligeras precipitaciones
Lluvias fuertes o moderadas,Lluvias fuertes o moderadas
Lluvias torrenciales,Lluvias torrenciales
Ligeros chubascos de aguanieve,Ligeros chubascos de aguanieve
Chubascos de aguanieve fuertes o moderados,Chubascos de aguanieve fuertes o moderados
Ligeras precipitaciones de nieve,Ligeras precipitaciones de nieve
Chubascos de nieve fuertes o moderados,Chubascos de nieve fuertes o moderados
Ligeros chubascos acompañados de granizo,Ligeros chubascos acompañados de granizo
Chubascos fuertes o moderados acompañados de granizo,Chubascos fuertes o moderados acompañados de granizo
Intervalos de lluvias ligeras con tomenta en la región,Intervalos de lluvias ligeras con tomenta en la región
Lluvias con tormenta fuertes o moderadas en la región,Lluvias con tormenta fuertes o moderadas en la región
Nieve moderada con tormenta en la región,Nieve moderada con tormenta en la región
Nieve moderada o fuertes nevadas con tormenta en la región,Nieve moderada o fuertes nevadas con tormenta en la región